Pursaklar ANKTOCDELLOSS01;Latency;Read Latency;Write Latency;Avg. Size;Read Size;Write Size;Total IOPS;Read IOPS;Write IOPS;CPU Utilization
2025-10-04 10:20:02;;;;;;;;;;
2025-10-04 11:00:00;0,55;1,4;0,38;97;451;27;10.058;1.644;8.414;%35.0
2025-10-04 12:00:00;0,54;1,42;0,37;96;450;28;10.262;1.650;8.612;%34.0
2025-10-04 13:00:00;0,54;1,43;0,37;96;456;29;10.229;1.619;8.610;%31.0
2025-10-04 14:00:00;0,56;1,45;0,39;96;451;29;10.303;1.647;8.656;%35.0
2025-10-04 15:00:00;0,57;1,45;0,4;98;454;29;10.070;1.629;8.441;%37.0
2025-10-04 16:00:00;0,58;1,46;0,41;98;452;29;10.079;1.647;8.433;%37.0
2025-10-04 17:00:00;0,55;1,42;0,38;98;448;29;10.174;1.663;8.511;%32.0
2025-10-04 18:00:00;0,53;1,39;0,36;97;453;29;10.070;1.631;8.440;%31.0
2025-10-04 19:00:00;0,56;1,44;0,38;98;454;29;9.994;1.629;8.365;%34.0
2025-10-04 20:00:00;0,53;1,38;0,37;97;445;29;10.158;1.659;8.499;%32.0
2025-10-04 21:00:00;0,59;1,43;0,42;97;451;29;10.163;1.645;8.517;%40.0
2025-10-04 22:00:00;0,57;1,42;0,41;94;426;32;11.118;1.736;9.382;%36.0
2025-10-04 23:00:00;0,57;1,4;0,4;97;440;28;10.183;1.688;8.494;%37.0
2025-10-05 00:00:00;0,5;1,37;0,32;96;448;25;9.828;1.657;8.171;%28.0
2025-10-05 01:00:00;0,54;1,32;0,36;95;397;26;10.328;1.921;8.408;%29.0
2025-10-05 02:00:00;0,99;2,2;0,72;102;417;32;11.228;2.057;9.171;%44.0
2025-10-05 03:00:00;0,51;1,23;0,35;92;388;25;10.437;1.925;8.513;%26.0
2025-10-05 04:00:00;0,51;1,33;0,32;98;431;23;9.737;1.782;7.954;%30.0
2025-10-05 05:00:00;2,13;1,98;2,17;151;358;104;11.405;2.101;9.304;%51.0
2025-10-05 06:00:00;1,07;1,57;0,95;121;399;59;10.046;1.854;8.192;%50.0
2025-10-05 07:00:00;0,61;1,16;0,42;100;322;23;10.599;2.715;7.884;%32.0
2025-10-05 08:00:00;0,6;1,41;0,43;96;455;23;9.667;1.619;8.049;%35.0
2025-10-05 09:00:00;0,51;1,38;0,33;97;456;25;9.710;1.621;8.089;%26.0
2025-10-05 10:00:00;0,53;1,39;0,36;96;453;25;9.852;1.639;8.213;%34.0
2025-10-05 11:00:00;0,55;1,4;0,38;97;454;26;9.839;1.626;8.213;%33.0
2025-10-05 12:00:00;0,52;1,38;0,35;97;452;27;9.909;1.637;8.271;%30.0
2025-10-05 13:00:00;0,52;1,37;0,36;97;447;27;10.009;1.652;8.358;%31.0
2025-10-05 14:00:00;0,56;1,43;0,39;97;458;28;10.102;1.617;8.485;%35.0
2025-10-05 15:00:00;0,55;1,41;0,39;97;453;29;10.085;1.635;8.450;%35.0
2025-10-05 16:00:00;0,55;1,4;0,38;97;450;29;10.174;1.653;8.521;%32.0
2025-10-05 17:00:00;0,59;1,42;0,43;97;452;29;10.048;1.633;8.415;%38.0
2025-10-05 18:00:00;0,54;1,4;0,37;98;455;28;9.914;1.621;8.293;%31.0
2025-10-05 19:00:00;0,55;1,39;0,38;98;454;29;9.920;1.630;8.289;%32.0
2025-10-05 20:00:00;0,56;1,42;0,4;98;457;28;9.967;1.619;8.349;%34.0
2025-10-05 21:00:00;0,53;1,4;0,36;98;455;27;9.783;1.620;8.163;%33.0
2025-10-05 22:00:00;0,51;1,34;0,35;94;434;26;10.259;1.701;8.558;%29.0
2025-10-05 23:00:00;0,55;1,41;0,39;97;459;26;9.721;1.605;8.116;%37.0
2025-10-06 00:00:00;0,49;1,38;0,31;96;457;24;9.732;1.612;8.120;%26.0
2025-10-06 01:00:00;0,52;1,38;0,35;96;444;25;9.816;1.657;8.158;%27.0
2025-10-06 02:00:00;1,06;2,21;0,8;106;423;34;11.012;2.042;8.969;%43.0
2025-10-06 03:00:00;0,5;1,24;0,33;92;390;25;10.413;1.915;8.498;%27.0
2025-10-06 04:00:00;0,51;1,36;0,33;96;449;23;9.551;1.652;7.899;%27.0
2025-10-06 05:00:00;2,34;2,34;2,34;151;364;104;11.282;2.042;9.240;%57.0
2025-10-06 06:00:00;1;1,67;0,85;121;401;58;10.029;1.829;8.200;%44.0
2025-10-06 07:00:00;0,65;1,16;0,47;100;324;23;10.591;2.698;7.894;%34.0
2025-10-06 08:00:00;0,65;1,5;0,48;97;454;25;9.678;1.629;8.049;%30.0
2025-10-06 09:00:00;0,66;1,5;0,49;98;452;27;9.810;1.635;8.176;%37.0
2025-10-06 10:00:00;0,54;1,38;0,37;97;444;28;9.966;1.666;8.300;%30.0
2025-10-06 11:00:00;0,56;1,42;0,39;97;451;28;9.996;1.635;8.361;%37.0
2025-10-06 12:00:00;0,55;1,4;0,39;97;448;29;10.208;1.662;8.546;%32.0
2025-10-06 13:00:00;0,58;1,43;0,41;98;443;29;10.210;1.684;8.525;%40.0
2025-10-06 14:00:00;0,56;1,41;0,39;97;448;29;10.377;1.668;8.708;%33.0
2025-10-06 15:00:00;0,58;1,44;0,42;96;448;30;10.486;1.663;8.823;%40.0
2025-10-06 16:00:00;0,57;1,39;0,41;97;436;30;10.479;1.719;8.760;%34.0
2025-10-06 17:00:00;0,63;1,44;0,47;98;445;30;10.302;1.686;8.616;%40.0
2025-10-06 18:00:00;0,55;1,41;0,38;97;446;30;10.253;1.661;8.592;%33.0
2025-10-06 19:00:00;0,58;1,45;0,41;97;452;29;10.176;1.639;8.537;%38.0
2025-10-06 20:00:00;0,52;1,38;0,35;97;453;28;9.970;1.630;8.340;%27.0
2025-10-06 21:00:00;0,55;1,42;0,38;97;455;27;9.928;1.623;8.305;%36.0
2025-10-06 22:00:00;0,54;1,36;0,37;93;431;26;10.490;1.721;8.769;%33.0
2025-10-06 23:00:00;0,49;1,37;0,32;96;451;26;9.932;1.632;8.300;%25.0
2025-10-07 00:00:00;0,52;1,39;0,35;95;457;25;9.934;1.615;8.318;%30.0
2025-10-07 01:00:00;0,58;1,43;0,41;96;445;25;9.883;1.664;8.219;%38.0
2025-10-07 02:00:00;0,91;2,04;0,65;104;416;33;11.285;2.091;9.194;%36.0
2025-10-07 03:00:00;0,51;1,23;0,35;90;388;25;10.800;1.925;8.875;%26.0
2025-10-07 04:00:00;0,56;1,38;0,39;95;443;23;9.907;1.688;8.220;%39.0
2025-10-07 05:00:00;2,12;2,26;2,09;148;360;102;11.577;2.047;9.530;%52.0
2025-10-07 06:00:00;1,07;1,62;0,96;119;400;58;10.249;1.819;8.430;%49.0
2025-10-07 07:00:00;0,68;1,18;0,51;99;320;24;10.807;2.741;8.066;%32.0
2025-10-07 08:00:00;0,61;1,44;0,44;96;450;25;9.886;1.637;8.249;%33.0
2025-10-07 09:00:00;0,53;1,41;0,36;97;454;27;9.893;1.630;8.263;%32.0
2025-10-07 10:00:00;0,56;1,4;0,39;97;443;28;10.030;1.670;8.360;%35.0
2025-10-07 11:00:00;0,56;1,43;0,39;96;449;28;10.225;1.646;8.579;%32.0
2025-10-07 12:00:00;0,58;1,42;0,42;97;443;29;10.275;1.679;8.596;%38.0
2025-10-07 13:00:00;0,57;1,43;0,41;97;450;29;10.324;1.653;8.671;%33.0
2025-10-07 14:00:00;0,6;1,47;0,45;95;453;29;10.520;1.638;8.882;%39.0
2025-10-07 15:00:00;0,57;1,44;0,41;96;450;30;10.508;1.652;8.856;%33.0
2025-10-07 16:00:00;0,58;1,46;0,41;96;449;30;10.436;1.660;8.775;%39.0
2025-10-07 17:00:00;0,55;1,43;0,39;95;451;30;10.570;1.643;8.927;%32.0
2025-10-07 18:00:00;0,63;1,45;0,47;96;442;29;10.530;1.686;8.844;%38.0
2025-10-07 19:00:00;0,56;1,43;0,39;97;453;29;10.202;1.635;8.567;%35.0
2025-10-07 20:00:00;0,56;1,43;0,39;96;456;28;10.140;1.616;8.524;%32.0
2025-10-07 21:00:00;0,54;1,41;0,37;96;454;27;10.076;1.629;8.446;%34.0
2025-10-07 22:00:00;0,55;1,32;0,39;91;416;26;10.763;1.794;8.968;%30.0
2025-10-07 23:00:00;0,55;1,41;0,39;96;458;26;9.917;1.614;8.303;%32.0
2025-10-08 00:00:00;0,55;1,4;0,38;95;455;25;9.898;1.624;8.274;%33.0
2025-10-08 01:00:00;0,53;1,36;0,35;96;439;25;9.877;1.694;8.183;%26.0
2025-10-08 02:00:00;0,91;2,03;0,66;105;424;33;11.155;2.055;9.100;%37.0
2025-10-08 03:00:00;0,54;1,25;0,39;90;387;25;10.635;1.929;8.706;%37.0
2025-10-08 04:00:00;0,49;1,36;0,3;96;448;23;9.636;1.662;7.975;%24.0
2025-10-08 05:00:00;2,24;2,37;2,21;149;364;102;11.462;2.024;9.437;%55.0
2025-10-08 06:00:00;1,06;1,64;0,93;119;400;58;10.206;1.823;8.383;%45.0
2025-10-08 07:00:00;0,71;1,19;0,54;99;322;24;10.722;2.715;8.007;%37.0
2025-10-08 08:00:00;0,51;1,37;0,34;97;453;25;9.756;1.631;8.125;%28.0
2025-10-08 09:00:00;0,54;1,38;0,38;97;447;27;9.925;1.660;8.266;%35.0
2025-10-08 10:00:00;0,55;1,38;0,39;96;435;28;10.215;1.716;8.500;%38.0
2025-10-08 11:00:00;0,53;1,39;0,37;96;448;28;10.312;1.653;8.659;%31.0
2025-10-08 12:00:00;0,57;1,42;0,41;96;452;29;10.356;1.642;8.714;%36.0
2025-10-08 13:00:00;0,57;1,38;0,41;98;436;30;10.369;1.739;8.629;%34.0
2025-10-08 14:00:00;0,58;1,43;0,42;96;449;30;10.440;1.655;8.785;%36.0
2025-10-08 15:00:00;0,57;1,42;0,41;97;448;29;10.304;1.656;8.648;%37.0
2025-10-08 16:00:00;0,57;1,4;0,41;96;443;30;10.416;1.680;8.737;%35.0
2025-10-08 17:00:00;0,58;1,42;0,42;96;448;30;10.433;1.655;8.778;%36.0
2025-10-08 18:00:00;0,59;1,42;0,43;97;455;30;10.254;1.626;8.628;%35.0
2025-10-08 19:00:00;0,55;1,4;0,39;97;446;29;10.251;1.678;8.573;%34.0
2025-10-08 20:00:00;0,58;1,39;0,42;96;448;28;10.161;1.657;8.504;%35.0
2025-10-08 21:00:00;0,53;1,38;0,36;97;449;27;10.012;1.656;8.356;%32.0
2025-10-08 22:00:00;0,51;1,34;0,34;92;429;26;10.526;1.729;8.797;%29.0
2025-10-08 23:00:00;1,09;1,58;1;105;455;36;10.089;1.662;8.428;%49.0
2025-10-09 00:00:00;0,49;1,36;0,32;96;456;25;9.858;1.619;8.239;%26.0
2025-10-09 01:00:00;0,52;1,37;0,35;95;444;25;10.070;1.668;8.402;%31.0
2025-10-09 02:00:00;0,99;2,19;0,73;101;412;34;12.205;2.159;10.046;%43.0
2025-10-09 03:00:00;0,68;1,3;0,56;84;365;29;12.766;2.087;10.679;%44.0
2025-10-09 04:00:00;0,5;1,36;0,33;93;443;24;10.142;1.682;8.460;%27.0
2025-10-09 05:00:00;2,48;2,54;2,47;141;356;98;12.420;2.058;10.361;%56.0
2025-10-09 06:00:00;1,12;1,79;0,98;116;393;58;10.760;1.880;8.880;%54.0
2025-10-09 07:00:00;0,71;1,24;0,53;98;323;26;11.139;2.727;8.412;%37.0
2025-10-09 08:00:00;0,64;1,48;0,47;94;444;26;10.337;1.681;8.657;%37.0
2025-10-09 09:00:00;0,54;1,4;0,37;96;453;28;10.116;1.637;8.479;%31.0
2025-10-09 10:00:00;0,55;1,39;0,38;97;443;27;10.071;1.674;8.397;%37.0
2025-10-09 11:00:00;0,54;1,39;0,37;97;446;28;10.208;1.667;8.542;%34.0
2025-10-09 12:00:00;0,55;1,4;0,38;95;446;29;10.387;1.666;8.722;%38.0
2025-10-09 13:00:00;0,57;1,43;0,41;96;452;29;10.445;1.645;8.800;%35.0
2025-10-09 14:00:00;0,6;1,43;0,44;95;450;29;10.465;1.647;8.819;%38.0
2025-10-09 15:00:00;0,58;1,42;0,42;97;451;30;10.377;1.646;8.731;%36.0
2025-10-09 16:00:00;0,59;1,46;0,43;95;447;31;10.760;1.675;9.085;%39.0
2025-10-09 17:00:00;0,57;1,44;0,41;95;451;30;10.533;1.639;8.894;%37.0
2025-10-09 18:00:00;0,58;1,43;0,42;95;452;30;10.573;1.637;8.936;%37.0
2025-10-09 19:00:00;0,57;1,44;0,41;95;453;29;10.482;1.636;8.846;%36.0
2025-10-09 20:00:00;0,56;1,44;0,4;94;453;28;10.404;1.627;8.777;%37.0
2025-10-09 21:00:00;0,53;1,41;0,37;95;451;28;10.463;1.650;8.814;%32.0
2025-10-09 22:00:00;0,56;1,38;0,41;90;427;27;10.983;1.739;9.244;%41.0
2025-10-09 23:00:00;0,51;1,39;0,34;95;457;26;9.981;1.611;8.370;%29.0
2025-10-10 00:00:00;0,5;1,39;0,33;95;459;25;9.882;1.608;8.274;%28.0
2025-10-10 01:00:00;0,57;1,39;0,4;94;436;25;10.128;1.692;8.435;%33.0
2025-10-10 02:00:00;1,08;2,22;0,84;102;421;36;12.354;2.125;10.230;%48.0
2025-10-10 03:00:00;0,58;1,22;0,44;84;352;27;12.090;2.145;9.945;%32.0
2025-10-10 04:00:00;0,52;1,35;0,35;92;430;24;10.310;1.743;8.568;%34.0
2025-10-10 05:00:00;2,14;2,3;2,1;145;363;100;11.960;2.052;9.908;%53.0
2025-10-10 06:00:00;1,06;1,64;0,93;118;399;58;10.539;1.850;8.689;%52.0
2025-10-10 07:00:00;0,69;1,21;0,52;97;319;24;10.972;2.726;8.245;%34.0
2025-10-10 08:00:00;0,68;1,51;0,52;94;450;25;10.100;1.644;8.456;%34.0
2025-10-10 09:00:00;0,68;1,56;0,5;96;444;27;10.068;1.668;8.400;%38.0
2025-10-10 10:00:00;0,52;1,37;0,35;95;441;27;10.220;1.684;8.536;%27.0
2025-10-10 11:00:00;0,59;1,46;0,43;95;445;28;10.402;1.661;8.741;%44.0
2025-10-10 12:00:00;0,54;1,4;0,37;96;446;29;10.321;1.670;8.651;%31.0
2025-10-10 13:00:00;0,58;1,45;0,42;97;451;29;10.233;1.644;8.589;%39.0
2025-10-10 14:00:00;0,56;1,43;0,4;96;451;29;10.305;1.639;8.666;%35.0
2025-10-10 15:00:00;0,59;1,42;0,44;96;450;30;10.423;1.647;8.776;%39.0
2025-10-10 16:00:00;0,58;1,44;0,42;96;443;30;10.557;1.687;8.870;%38.0
2025-10-10 17:00:00;0,58;1,44;0,42;96;445;30;10.435;1.664;8.771;%37.0
2025-10-10 18:00:00;0,57;1,42;0,41;96;452;29;10.395;1.626;8.769;%36.0
2025-10-10 19:00:00;0,57;1,42;0,41;96;453;29;10.223;1.625;8.598;%41.0
2025-10-10 20:00:00;0,54;1,39;0,37;96;455;28;10.102;1.623;8.479;%32.0
2025-10-10 21:00:00;0,52;1,39;0,35;96;454;27;9.988;1.619;8.369;%33.0
2025-10-10 22:00:00;0,61;1,37;0,46;93;420;29;10.731;1.763;8.968;%35.0
2025-10-10 23:00:00;0,54;1,39;0,38;96;456;26;9.926;1.619;8.307;%29.0
2025-10-11 00:00:00;0,52;1,4;0,35;95;455;25;9.859;1.617;8.242;%35.0
2025-10-11 01:00:00;0,53;1,38;0,36;95;442;25;10.029;1.673;8.357;%26.0
2025-10-11 02:00:00;0,97;2,03;0,73;106;415;34;11.295;2.152;9.142;%39.0
2025-10-11 03:00:00;0,52;1,22;0,36;90;374;25;10.724;1.993;8.731;%32.0
2025-10-11 04:00:00;0,51;1,36;0,33;95;443;23;9.744;1.675;8.070;%28.0
2025-10-11 05:00:00;2,13;2,3;2,1;147;360;101;11.703;2.079;9.623;%54.0
2025-10-11 06:00:00;0,98;1,55;0,86;119;399;58;10.295;1.851;8.444;%43.0
2025-10-11 07:00:00;0,64;1,16;0,47;98;322;23;10.816;2.709;8.107;%38.0
2025-10-11 08:00:00;0,62;1,45;0,46;95;452;24;9.835;1.635;8.200;%30.0
2025-10-11 09:00:00;0,65;1,48;0,49;97;450;25;9.821;1.647;8.174;%33.0
2025-10-11 10:00:00;0,71;1,53;0,55;96;452;26;9.952;1.639;8.313;%37.0
2025-10-11 11:00:00;0,69;1,53;0,53;96;449;27;10.006;1.640;8.366;%34.0
2025-10-11 12:00:00;0,67;1,49;0,52;96;451;28;10.226;1.644;8.581;%33.0
2025-10-11 13:00:00;0,77;1,56;0,62;97;447;28;10.154;1.653;8.501;%41.0
2025-10-11 14:00:00;0,55;1,47;0,38;96;454;28;10.201;1.619;8.582;%31.0
2025-10-11 15:00:00;0,58;1,48;0,41;97;454;29;10.225;1.626;8.599;%42.0
2025-10-11 16:00:00;0,54;1,43;0,37;97;450;29;10.220;1.652;8.568;%31.0
2025-10-11 17:00:00;0,56;1,43;0,39;97;453;29;10.062;1.630;8.431;%37.0
2025-10-11 18:00:00;0,54;1,41;0,37;96;454;29;10.211;1.627;8.584;%30.0
2025-10-11 19:00:00;0,56;1,43;0,39;97;454;28;10.008;1.623;8.385;%36.0
2025-10-11 20:00:00;0,54;1,39;0,37;97;448;28;10.057;1.646;8.411;%34.0
2025-10-11 21:00:00;0,53;1,4;0,37;96;454;28;10.154;1.629;8.525;%31.0
2025-10-11 22:00:00;0,62;1,39;0,48;93;421;31;11.070;1.760;9.311;%40.0
2025-10-11 23:00:00;0,53;1,37;0,37;96;441;29;10.298;1.682;8.616;%29.0
2025-10-12 00:00:00;0,53;1,43;0,36;96;459;25;9.805;1.601;8.203;%32.0
2025-10-12 01:00:00;0,64;1,38;0,48;94;393;26;10.495;1.926;8.569;%35.0
2025-10-12 02:00:00;0,9;2,11;0,63;104;419;32;11.078;2.057;9.020;%35.0
2025-10-12 03:00:00;0,49;1,2;0,33;91;376;25;10.579;1.986;8.593;%25.0
2025-10-12 04:00:00;0,52;1,35;0,34;94;441;23;9.887;1.683;8.203;%30.0
2025-10-12 05:00:00;2,2;2,43;2,15;146;360;101;11.699;2.044;9.655;%53.0
2025-10-12 06:00:00;1,07;1,66;0,94;118;399;58;10.392;1.829;8.562;%51.0
2025-10-12 07:00:00;0,65;1,18;0,47;98;324;23;10.793;2.693;8.100;%33.0
2025-10-12 08:00:00;0,67;1,48;0,51;94;448;23;9.899;1.652;8.246;%32.0
2025-10-12 09:00:00;0,67;1,5;0,51;96;453;24;9.809;1.635;8.174;%35.0
2025-10-12 10:00:00;0,71;1,5;0,55;95;447;25;9.990;1.657;8.333;%32.0
2025-10-12 11:00:00;0,59;1,46;0,43;95;455;26;10.146;1.631;8.515;%34.0
2025-10-12 12:00:00;0,54;1,41;0,38;94;453;27;10.329;1.627;8.702;%35.0
2025-10-12 13:00:00;0,55;1,4;0,39;95;451;28;10.439;1.646;8.793;%37.0
2025-10-12 14:00:00;0,54;1,4;0,38;94;448;28;10.614;1.661;8.953;%35.0
2025-10-12 15:00:00;0,59;1,43;0,44;94;452;29;10.669;1.643;9.026;%37.0
2025-10-12 16:00:00;0,56;1,42;0,39;95;448;29;10.487;1.662;8.826;%33.0
2025-10-12 17:00:00;0,58;1,42;0,43;96;451;29;10.341;1.641;8.700;%35.0
2025-10-12 18:00:00;0,55;1,42;0,39;95;452;29;10.537;1.638;8.899;%36.0
2025-10-12 19:00:00;0,55;1,42;0,39;96;454;28;10.322;1.628;8.694;%34.0
2025-10-12 20:00:00;0,54;1,41;0,38;94;453;27;10.337;1.628;8.709;%34.0
2025-10-12 21:00:00;0,53;1,41;0,36;95;452;27;10.332;1.638;8.695;%33.0
2025-10-12 22:00:00;0,53;1,36;0,38;91;432;26;10.791;1.718;9.073;%32.0
2025-10-12 23:00:00;0,53;1,4;0,36;95;456;26;10.177;1.621;8.556;%33.0
2025-10-13 00:00:00;0,52;1,39;0,35;94;457;25;10.170;1.624;8.546;%32.0
